threads,size,mean_duration,ci_duration
1,16,-29005.7650761,0.008783974483839673
1,32,-29005.785731500004,0.015052992574426794
1,64,-29005.831518499996,0.036434344245963333
1,128,-29005.9700956,0.12079964248981379
1,256,-29006.485929,0.45665879152249617
1,512,-29008.502463200002,1.8014224302300348
1,1024,-29016.521291,7.177329904909569
1,2048,-29048.5143897,28.646003982416754
1,4096,-29176.378517099998,114.51739026495044
1,8192,-29687.687754300005,458.0116784533199
2,16,-30034.982626499997,0.011319955305278533
2,32,-30034.999515200005,0.01008468635017678
2,64,-30035.0274942,0.021038326494993778
2,128,-30035.102595700002,0.063873983597243
2,256,-30035.3672363,0.23293925400152218
2,512,-30036.3848413,0.9073750013253156
2,1024,-30040.403660599997,3.5960419402937776
2,2048,-30056.425408399995,14.341631276718669
2,4096,-30120.414012500005,57.30595028650843
2,8192,-30376.203997499997,229.0967683916178
4,16,-30549.9376674,0.00716412732691516
4,32,-30549.951286400006,0.00884838565661443
4,64,-30549.972486700008,0.015541985249133531
4,128,-30550.022005,0.04061056032561713
4,256,-30550.1807016,0.13809887639512328
4,512,-30550.774265699998,0.5273179310994931
4,1024,-30553.108493799995,2.087676449795116
4,2048,-30562.406093799997,8.320427638794891
4,4096,-30599.5098336,33.23622205594488
4,8192,-30747.888431399995,132.8592290741173
8,16,-30848.6374753,0.008281122705498425
8,32,-30848.6524722,0.009612364392049358
8,64,-30848.675248299995,0.015979966318386555
8,128,-30848.725740700007,0.0419400818650757
8,256,-30848.8893606,0.14172009007598688
8,512,-30849.499810899997,0.5392344318091831
8,1024,-30851.890012800002,2.1374565890707924
8,2048,-30861.452608299995,8.562332414851722
8,4096,-30899.6882312,34.307898841721574
8,8192,-31052.523092299998,136.78552294390283
16,16,-31156.2250784,0.009801056740361832
16,32,-31156.242794600003,0.011293754865451477
16,64,-31156.2680546,0.01818104539085632
16,128,-31156.323467699996,0.045055695148676
16,256,-31156.493440699996,0.14248352542524986
16,512,-31157.1057691,0.5460003950750741
16,1024,-31159.503196600002,2.1310487249253396
16,2048,-31169.1290812,8.660198334565635
16,4096,-31207.893386999996,34.7574309913202
16,8192,-31362.840495700006,138.714488969235
32,16,-31468.0383149,0.012284360748786997
32,32,-31468.060859,0.014497774869053487
32,64,-31468.090486899997,0.020739340381609305
32,128,-31468.148873500002,0.045122356686403804
32,256,-31468.316041899998,0.14391271707563383
32,512,-31468.931838700002,0.5447742261064531
32,1024,-31471.345894399994,2.174073928337755
32,2048,-31481.094628799998,8.730424407867368
32,4096,-31520.0950303,34.9405101574132
32,8192,-31676.153551099997,139.83665445187614
