threads,size,mean_duration,ci_duration
1,16,-25628.764220299996,0.007382009722186535
1,32,-25628.7774717,0.008505100562089273
1,64,-25628.7954139,0.011450085573099076
1,128,-25628.8297194,0.027663004552461217
1,256,-25628.923928599997,0.07936265371882593
1,512,-25629.2572595,0.2937341440260442
1,1024,-25630.5457158,1.1508302537055273
1,2048,-25635.6404047,4.553728931011089
1,4096,-25655.9196424,18.148025220705925
1,8192,-25736.811382699998,72.43678337156446
2,16,-25791.7449605,0.006263865914046359
2,32,-25791.756251799998,0.0069792355753512435
2,64,-25791.7698258,0.009092308613795598
2,128,-25791.7916433,0.01623895497417832
2,256,-25791.847820400002,0.04538650142357007
2,512,-25792.0221154,0.1513941809968149
2,1024,-25792.674398299998,0.5807183598368666
2,2048,-25795.2311763,2.2824688723337743
2,4096,-25805.3790896,9.083779747513217
2,8192,-25845.8716065,36.244060927383714
4,16,-25873.3598729,0.007052967968759208
4,32,-25873.3720431,0.007349789504845543
4,64,-25873.3853597,0.00839454497721186
4,128,-25873.4033512,0.012682848266181579
4,256,-25873.442548199997,0.030792341597779407
4,512,-25873.548827200004,0.0906136945181202
4,1024,-25873.9267645,0.3331491901559151
4,2048,-25875.3917181,1.3087531920354405
4,4096,-25881.2343768,5.248771937502386
4,8192,-25904.6160149,20.994464215390767
8,16,-25920.489453599996,0.007778306045446873
8,32,-25920.5030287,0.009751490242010582
8,64,-25920.5193295,0.008483515962862828
8,128,-25920.5375519,0.013104117481589109
8,256,-25920.5754262,0.029998081626844985
8,512,-25920.6837704,0.09297236793392355
8,1024,-25921.0684692,0.33791034089684613
8,2048,-25922.567753299998,1.3347927635665806
8,4096,-25928.5552067,5.378437075299885
8,8192,-25952.4525335,21.38582578824018
16,16,-25968.6865424,0.008605058080499384
16,32,-25968.7014776,0.008879214401910812
16,64,-25968.717706499996,0.010197864628715697
16,128,-25968.739261099996,0.01446984039424724
16,256,-25968.7780187,0.03034213622275334
16,512,-25968.8886047,0.09548200485205674
16,1024,-25969.2786272,0.3455297632430868
16,2048,-25970.794331099998,1.3543345634666868
16,4096,-25976.8381734,5.399590228465745
16,8192,-26001.019418399996,21.71165593161115
32,16,-26017.4973752,0.012262353158393552
32,32,-26017.5180536,0.012315482133083007
32,64,-26017.5397791,0.013334443941874446
32,128,-26017.5661153,0.01733374649699918
32,256,-26017.6106354,0.033488367091936824
32,512,-26017.7254506,0.09687356757603534
32,1024,-26018.123862700002,0.3491633740685011
32,2048,-26019.634884000003,1.3475239659142628
32,4096,-26025.7159257,5.4560090441073745
32,8192,-26050.036667400003,21.77297409145132
