threads,size,mean_duration,ci_duration
1,16,0.0004187,4.646527611501351e-5
1,32,0.0014873,1.9731315662615555e-5
1,64,0.0059734,0.0004593711133761509
1,128,0.022947500000000003,0.0002525388990938923
1,256,0.09130819999999999,0.0004783049719071571
1,512,0.3674292,0.013369297456948632
1,1024,1.4761018000000004,0.08048979153887889
1,2048,5.811831,0.005814003679056926
1,4096,23.2412175,0.02237316033346043
1,8192,93.060555,0.5170633157705661
2,16,0.00027649999999999994,8.276988180089016e-6
2,32,0.0008233000000000001,1.0249215471331346e-5
2,64,0.0029920999999999997,1.0098174972626413e-5
2,128,0.0115793,6.28427202183712e-5
2,256,0.0457532,6.616302505512129e-5
2,512,0.1824477,0.0007177817758251229
2,1024,0.727838,0.002461757052369118
2,2048,2.9091222,0.004657409630744334
2,4096,11.6325141,0.011441658265991646
2,8192,46.53698109999999,0.14053610187858942
4,16,0.0002159,1.030735573375743e-5
4,32,0.0005502,9.183924118927726e-6
4,64,0.0018175999999999997,4.80295546050092e-5
4,128,0.006768199999999999,9.489225290940375e-5
4,256,0.026616400000000002,0.0013369876291225223
4,512,0.1064572,0.005978060820382775
4,1024,0.4220747,0.002791821390151357
4,2048,1.6876392000000002,0.011963800140606383
4,4096,6.7602265,0.044414037535601095
4,8192,26.978147399999994,0.06823768908554868
8,16,0.00031580000000000003,5.400818637535939e-5
8,32,0.0006533999999999999,8.454648309920666e-5
8,64,0.0020568,0.00041023798352771867
8,128,0.00713,0.0006728001162636973
8,256,0.026842900000000003,0.0010548237940180662
8,512,0.10708680000000001,0.0042970733933917786
8,1024,0.43399530000000003,0.018486342811367424
8,2048,1.7347732999999999,0.014614921251817212
8,4096,6.9664353000000006,0.13047920733838558
8,8192,27.778204699999996,0.08221267357275573
16,16,0.00048580000000000004,5.792823391442592e-5
16,32,0.0007995000000000001,5.7909441179981854e-5
16,64,0.0020566,0.0003128384865212222
16,128,0.0071716,0.00029515225461521446
16,256,0.0277733,0.0015565224957706212
16,512,0.10763990000000001,0.0027960003519599185
16,1024,0.43623500000000004,0.007318229745092431
16,2048,1.7571631999999997,0.027490782324061012
16,4096,7.0460151,0.036378684114125884
16,8192,28.1827731,0.035103680757037424
32,16,0.0008033999999999999,4.105304622612608e-5
32,32,0.0011089000000000001,7.189309211136585e-5
32,64,0.0024411,0.0003251729328355743
32,128,0.0073805,0.00015208008679639794
32,256,0.027347500000000004,0.0008531193794800614
32,512,0.10917000000000002,0.006915132587979304
32,1024,0.44116670000000013,0.012198156997070221
32,2048,1.7740064,0.021027812359724986
32,4096,7.0988202000000005,0.022383386860943804
32,8192,28.465354,0.3104172942857383
