threads,size,mean_duration,ci_duration
1,16,0.0003114,8.618157616980041e-5
1,32,0.0004548,0.00010117093970108213
1,64,0.0011554,0.0003894153859655095
1,128,0.0036543,0.0004109929375116371
1,256,0.011731499999999999,0.000870249932375752
1,512,0.0466621,0.0027596307288846535
1,1024,0.17889080000000002,0.0032770397390490475
1,2048,0.7108424999999999,0.0016955308504418617
1,4096,2.8419473999999996,0.004548969025241248
1,8192,11.359466700000002,0.008341989034502421
2,16,0.0002710999999999999,5.741495414959414e-5
2,32,0.0004255,7.296449364816652e-5
2,64,0.0009595000000000001,5.8903353611374796e-5
2,128,0.0030923,1.6347700347959328e-5
2,256,0.0114379,5.835148197680046e-5
2,512,0.0450667,0.0009648010493913614
2,1024,0.17860939999999997,0.0011828095058724541
2,2048,0.7120607000000001,0.002684379162292686
2,4096,2.8587286,0.061454655325585965
2,8192,11.367684100000002,0.021937202057180624
4,16,0.0002544,6.850473385102668e-5
4,32,0.0003005000000000001,8.524560542599509e-5
4,64,0.0006176,9.39719564787519e-5
4,128,0.0019307999999999999,7.854034105689459e-5
4,256,0.0070539,0.00026164584813997884
4,512,0.027424400000000005,0.0014664651947924896
4,1024,0.10426260000000001,0.005513835083245297
4,2048,0.3984072,0.008348153789411294
4,4096,1.5878392000000001,0.05465181485154679
4,8192,6.2440572,0.01368330551918292
8,16,0.0003108,6.580075460560211e-5
8,32,0.0003478,3.080797472516925e-5
8,64,0.0006516000000000001,0.00010173220305182516
8,128,0.0016175000000000002,4.5106031131595374e-5
8,256,0.0054435,4.929312325264024e-5
8,512,0.020141,0.0015168140457624407
8,1024,0.07474549999999999,0.00285679967922149
8,2048,0.2840268,0.0029894998189024516
8,4096,1.1263666999999997,0.009380710206765012
8,8192,4.4765608,0.021815740079254884
16,16,0.0004504,5.524589139072296e-5
16,32,0.0005131999999999999,5.627623868028138e-5
16,64,0.0007414,0.000124662437290112
16,128,0.0017538000000000002,0.0003094770417907531
16,256,0.0048142,0.0006948241005990896
16,512,0.0184308,0.0007995325593926045
16,1024,0.07293290000000001,0.0024256313362421744
16,2048,0.2870712,0.005941440116060143
16,4096,1.1507412,0.008475794019494935
16,8192,4.4887104,0.051515972595112314
32,16,0.0007624999999999999,5.679304574016476e-5
32,32,0.0007628,5.3555802009575875e-5
32,64,0.0008907000000000001,0.00013859308310462125
32,128,0.0018876000000000001,0.00039739232949036364
32,256,0.0053535,0.0009227191374771992
32,512,0.019872499999999998,0.0025046460654107963
32,1024,0.07702990000000001,0.011724731520518878
32,2048,0.3027691,0.024528612923866506
32,4096,1.232073,0.03998083031096441
32,8192,4.8339628,0.19504729367561813
