threads,size,mean_duration,ci_duration
1,16,0.0006057,0.0001496291665566725
1,32,0.0015163999999999998,0.00017366430780227824
1,64,0.0054291,0.0004617790780882131
1,128,0.019980600000000005,8.411625436792163e-5
1,256,0.0789755,6.200301999813665e-5
1,512,0.31512130000000005,0.001340776597654425
1,1024,1.2579736000000001,0.002291082520203637
1,2048,5.037615499999999,0.026117164297085747
1,4096,20.121211300000002,0.009307365802259354
1,8192,80.4756404,0.03246862290732355
2,16,0.0005531000000000001,6.713425209566612e-5
2,32,0.0014915000000000002,5.958779666266506e-5
2,64,0.0051842,4.81059231280305e-5
2,128,0.020001300000000003,0.00029571406853392775
2,256,0.0790057,0.0001919734148724172
2,512,0.31541220000000003,0.0009363070419092746
2,1024,1.2599157,0.0036118265199166
2,2048,5.0531131,0.07794241271208165
2,4096,20.1409924,0.019822881922054638
2,8192,80.56853559999999,0.13020109323850718
4,16,0.000349,0.0001065834792284641
4,32,0.0008574,0.00011230189977615397
4,64,0.0027703,1.215445853266284e-5
4,128,0.0105666,2.6331846033948078e-5
4,256,0.0418541,0.00017020167222053318
4,512,0.16559870000000002,0.0029048525519313707
4,1024,0.6463848000000001,0.002503948187664203
4,2048,2.5708675,0.007883392528854505
4,4096,10.141760999999999,0.5456878319304467
4,8192,40.798410399999995,1.288377042578697
8,16,0.0004253,0.00016377712774784313
8,32,0.0007718,3.0403524941836737e-5
8,64,0.002149,1.817629225117166e-5
8,128,0.007782,5.566768062948766e-5
8,256,0.0304747,0.001351848831003098
8,512,0.1220224,0.0008966157767367964
8,1024,0.4785647,0.00512111373602093
8,2048,1.8999228000000001,0.012579145857946205
8,4096,7.5875147,0.045732418564651295
8,8192,30.1824174,0.787757505198462
16,16,0.0005327,6.00217443561544e-5
16,32,0.0008451999999999999,0.00012402944424611437
16,64,0.0022586999999999998,0.0001971661066658715
16,128,0.008091500000000001,0.0009267068711182504
16,256,0.030919899999999993,0.0024597907943165517
16,512,0.12425420000000001,0.008119985014300347
16,1024,0.48837350000000007,0.020723177853526453
16,2048,1.9335675999999995,0.044858815847380815
16,4096,7.766242,0.07085095899790372
16,8192,31.033779499999998,0.11354972446900331
32,16,0.0008227000000000002,3.437365425244554e-5
32,32,0.0010128,9.558246570951766e-5
32,64,0.0023241,0.00019735522801959585
32,128,0.007397300000000001,0.0002631466572422644
32,256,0.027452200000000003,0.001751642543930315
32,512,0.10545239999999997,0.0009149425184033228
32,1024,0.41715139999999995,0.005439745863253382
32,2048,1.6638254,0.009568520919955473
32,4096,6.6266796,0.019148944085996232
32,8192,26.4925596,0.032326570541160185
