processes,duration
2,26.727972
2,26.655547
2,26.837062
2,26.763339
2,26.628243
2,26.905628
2,26.665537
2,26.620813
2,26.853796
2,26.932843
2,26.773099
2,26.606109
2,26.640643
2,26.806078
2,26.845096
3,26.685183
3,26.571418
3,26.553374
3,26.528258
3,26.841047
3,26.84267
3,26.715713
3,26.825082
3,26.689833
3,26.840942
3,26.73238
3,26.707724
3,26.716842
3,26.700469
3,26.69281
5,9.220593
5,9.321604
5,9.49594
5,9.178704
5,9.176609
5,9.303983
5,9.24212
5,9.108379
5,9.213631
5,9.121775
5,9.219678
5,9.238981
5,9.116888
5,9.270198
5,9.284906
9,9.051008
9,9.867114
9,9.611535
9,9.436035
9,9.345172
9,9.044802
9,9.434092
9,9.490139
9,9.204105
9,9.429656
9,9.431819
9,9.663369
9,9.495465
9,9.68817
9,9.664407
17,4.610977
17,4.937432
17,4.687081
17,4.509664
17,4.470575
17,4.57557
17,5.084027
17,4.567904
17,4.530197
17,4.904482
17,4.827644
17,4.866806
17,4.59515
17,4.583097
17,4.557219
33,4.487027
33,3.930342
33,4.369253
33,3.937577
33,3.948146
33,3.875194
33,3.99094
33,4.0669
33,4.010176
33,4.230243
33,4.097056
33,4.274227
33,3.828763
33,4.534898
33,3.964113
65,4.659224
65,4.287154
65,4.154445
65,4.172058
65,4.12328
65,4.263323
65,4.146884
65,4.403141
65,4.406892
65,4.105307
65,4.268157
65,4.234624
65,4.203
65,4.203107
65,4.251199
