dimensions,duration
"2, 2",0.280372
"2, 2",0.277381
"2, 2",0.281127
"2, 2",0.277549
"2, 2",0.277367
"2, 2",0.277539
"2, 2",0.277394
"2, 2",0.277444
"2, 2",0.277479
"2, 2",0.277444
"2, 2",0.277436
"2, 2",0.283792
"2, 2",0.277397
"2, 2",0.277554
"2, 2",0.30112
"4, 4",0.07912
"4, 4",0.078964
"4, 4",0.071205
"4, 4",0.075528
"4, 4",0.078793
"4, 4",0.071292
"4, 4",0.077578
"4, 4",0.077942
"4, 4",0.071151
"4, 4",0.077817
"4, 4",0.071313
"4, 4",0.077832
"4, 4",0.071359
"4, 4",0.077974
"4, 4",0.071453
"8, 8",0.040256
"8, 8",0.039089
"8, 8",0.036576
"8, 8",0.040245
"8, 8",0.039283
"8, 8",0.036501
"8, 8",0.039941
"8, 8",0.03655
"8, 8",0.038551
"8, 8",0.041062
"8, 8",0.036555
"8, 8",0.036796
"8, 8",0.037042
"8, 8",0.036488
"8, 8",0.03661
"16, 16",0.036516
"16, 16",0.0365
"16, 16",0.040176
"16, 16",0.036538
"16, 16",0.036497
"16, 16",0.036547
"16, 16",0.036522
"16, 16",0.036544
"16, 16",0.03741
"16, 16",0.036531
"16, 16",0.036562
"16, 16",0.03654
"16, 16",0.036516
"16, 16",0.036543
"16, 16",0.039825
"32, 32",0.03684
"32, 32",0.03673
"32, 32",0.036738
"32, 32",0.040604
"32, 32",0.038981
"32, 32",0.037483
"32, 32",0.03992
"32, 32",0.037069
"32, 32",0.03697
"32, 32",0.036809
"32, 32",0.036726
"32, 32",0.041728
"32, 32",0.042799
"32, 32",0.037822
"32, 32",0.036757
