threads,duration
1,28.47136
1,29.169726
1,29.692532
1,28.658407
1,29.452123
1,28.75009
1,29.494604
1,28.835341
1,29.040495
1,29.497179
1,28.191412
1,29.213928
1,29.667824
1,29.467692
1,30.682807
2,14.917063
2,14.791714
2,14.72022
2,14.983825
2,14.474192
2,14.46704
2,15.13228
2,14.594778
2,15.109466
2,14.358386
2,14.875612
2,14.499744
2,14.483474
2,14.852518
2,14.760896
4,8.403387
4,8.577969
4,8.720562
4,8.442053
4,8.297147
4,8.528677
4,8.490711
4,8.415303
4,8.14564
4,8.48024
4,8.880221
4,8.159767
4,8.996574
4,8.843684
4,9.051736
8,6.63634
8,5.714633
8,5.402462
8,5.137153
8,5.771723
8,5.04685
8,5.871426
8,5.501318
8,5.058402
8,5.288247
8,5.646712
8,5.857899
8,5.109816
8,5.934953
8,5.314848
16,3.819628
16,4.347449
16,3.907781
16,4.372624
16,4.634497
16,3.854843
16,3.937196
16,3.99181
16,3.814135
16,4.136665
16,4.478291
16,4.391075
16,3.983157
16,4.203977
16,3.826182
32,3.251832
32,3.209268
32,3.174618
32,3.679065
32,3.532293
32,3.519785
32,3.43953
32,3.703308
32,3.029692
32,2.960612
32,2.803834
32,3.109799
32,2.857573
32,3.14251
32,3.42508
64,3.041082
64,3.547154
64,3.418848
64,3.330306
64,2.960058
64,3.031399
64,3.039983
64,3.534005
64,3.352167
64,3.134693
64,3.21242
64,3.067551
64,3.184643
64,3.718907
64,3.092133
