processes,dimensions,duration
2,"2, 2",2.819571
2,"2, 2",2.959304
2,"2, 2",2.947741
2,"2, 2",2.808196
2,"2, 2",2.758833
2,"2, 2",2.808265
2,"2, 2",2.933152
2,"2, 2",2.780522
2,"2, 2",2.993929
2,"2, 2",2.782755
2,"2, 2",2.830537
2,"2, 2",3.072255
2,"2, 2",2.593134
2,"2, 2",2.886996
2,"2, 2",2.901335
2,"4, 4",2.800152
2,"4, 4",2.762042
2,"4, 4",2.73305
2,"4, 4",2.915155
2,"4, 4",2.837821
2,"4, 4",2.559397
2,"4, 4",2.882837
2,"4, 4",2.808862
2,"4, 4",3.011586
2,"4, 4",2.765471
2,"4, 4",2.82049
2,"4, 4",2.907836
2,"4, 4",2.572369
2,"4, 4",2.868013
2,"4, 4",2.941954
2,"8, 8",2.840584
2,"8, 8",3.012489
2,"8, 8",2.785661
2,"8, 8",2.871858
2,"8, 8",2.758639
2,"8, 8",2.815014
2,"8, 8",2.900082
2,"8, 8",2.806753
2,"8, 8",2.536326
2,"8, 8",2.892349
2,"8, 8",2.920056
2,"8, 8",2.775277
2,"8, 8",2.835797
2,"8, 8",2.793419
2,"8, 8",2.768675
2,"16, 16",2.919158
2,"16, 16",2.969907
2,"16, 16",2.782668
2,"16, 16",2.827166
2,"16, 16",2.819322
2,"16, 16",2.809559
2,"16, 16",2.733815
2,"16, 16",2.901588
2,"16, 16",2.781688
2,"16, 16",2.867236
2,"16, 16",2.823141
2,"16, 16",2.797379
2,"16, 16",2.96881
2,"16, 16",3.205915
2,"16, 16",2.908929
2,"32, 32",2.790401
2,"32, 32",2.784794
2,"32, 32",2.882708
2,"32, 32",2.722271
2,"32, 32",2.864555
2,"32, 32",2.772723
2,"32, 32",2.763652
2,"32, 32",2.780969
2,"32, 32",2.883226
2,"32, 32",2.683192
2,"32, 32",2.78102
2,"32, 32",2.811947
2,"32, 32",2.916475
2,"32, 32",2.860797
2,"32, 32",2.937833
3,"2, 2",2.896463
3,"2, 2",2.805715
3,"2, 2",2.500784
3,"2, 2",2.861012
3,"2, 2",2.82651
3,"2, 2",2.785226
3,"2, 2",2.784028
3,"2, 2",2.858207
3,"2, 2",2.892648
3,"2, 2",2.838285
3,"2, 2",2.778019
3,"2, 2",2.77342
3,"2, 2",2.832731
3,"2, 2",2.538581
3,"2, 2",2.845202
3,"4, 4",2.819508
3,"4, 4",2.888161
3,"4, 4",2.922361
3,"4, 4",2.813197
3,"4, 4",2.509138
3,"4, 4",2.924599
3,"4, 4",2.481026
3,"4, 4",2.651203
3,"4, 4",2.804711
3,"4, 4",2.864187
3,"4, 4",2.798778
3,"4, 4",2.819044
3,"4, 4",2.780709
3,"4, 4",2.803439
3,"4, 4",2.888353
3,"8, 8",2.777016
3,"8, 8",2.772525
3,"8, 8",2.849587
3,"8, 8",2.832515
3,"8, 8",2.853001
3,"8, 8",2.979944
3,"8, 8",2.868432
3,"8, 8",2.775199
3,"8, 8",2.849891
3,"8, 8",2.520623
3,"8, 8",2.848138
3,"8, 8",3.008411
3,"8, 8",2.832992
3,"8, 8",2.836115
3,"8, 8",2.521851
3,"16, 16",2.851763
3,"16, 16",2.797021
3,"16, 16",2.779717
3,"16, 16",2.674642
3,"16, 16",2.560804
3,"16, 16",2.908952
3,"16, 16",2.826887
3,"16, 16",2.785694
3,"16, 16",2.764196
3,"16, 16",2.764888
3,"16, 16",2.781428
3,"16, 16",2.813187
3,"16, 16",2.796823
3,"16, 16",2.807845
3,"16, 16",2.768645
3,"32, 32",2.741003
3,"32, 32",2.804891
3,"32, 32",2.816946
3,"32, 32",2.493232
3,"32, 32",3.011347
