processes,duration
2,26.816538
2,26.833226
2,26.834191
2,26.857311
2,26.843673
2,26.835347
2,26.832242
2,26.840564
2,26.859379
2,26.850595
2,26.852732
2,26.850366
2,26.847039
2,26.839568
2,26.858778
3,19.133489
3,19.169321
3,19.187574
3,19.178271
3,19.13999
3,19.13119
3,19.129453
3,19.136916
3,19.216511
3,19.208918
3,19.203734
3,19.200537
3,19.132354
3,19.188848
3,19.207029
5,12.590141
5,12.635044
5,12.59245
5,12.617336
5,12.629924
5,12.607031
5,12.619171
5,12.555173
5,12.618799
5,12.603301
5,12.628141
5,12.618142
5,12.538384
5,12.54383
5,12.606772
9,7.922141
9,7.641952
9,7.644653
9,7.810149
9,7.66098
9,7.9875
9,8.009872
9,7.95178
9,7.663952
9,7.650972
9,7.655124
9,7.708791
9,7.659821
9,7.64987
9,7.656883
17,4.821213
17,4.829388
17,4.823201
17,4.832251
17,4.891022
17,4.797776
17,4.818759
17,4.845474
17,4.845748
17,4.732354
17,4.874333
17,4.820573
17,4.903543
17,4.790572
17,4.916443
33,4.055609
33,4.268389
33,3.966818
33,4.211894
33,4.245519
33,4.726809
33,4.756242
33,4.517745
33,4.65976
33,4.599603
33,3.832188
33,4.658674
33,4.166571
33,4.072343
33,4.031604
65,3.488682
65,3.647747
65,3.52194
65,3.467048
65,3.25116
65,3.421199
65,3.448927
65,3.717925
65,3.633014
65,3.464412
65,3.248829
65,3.38638
65,3.457755
65,3.471209
65,3.675122
