processes,threads,duration
2,1,27.611799
2,1,27.503477
2,1,27.472124
2,1,27.479256
2,1,27.482229
2,1,27.478047
2,1,27.493603
2,1,27.474479
2,1,27.494745
2,1,27.494735
2,1,27.468496
2,1,27.503306
2,1,27.506417
2,1,27.53624
2,1,27.504968
2,2,16.063209
2,2,16.039037
2,2,16.046238
2,2,16.051899
2,2,16.721684
2,2,16.055595
2,2,16.042006
2,2,16.059452
2,2,16.039144
2,2,16.046687
2,2,16.066337
2,2,16.044346
2,2,16.023144
2,2,16.043355
2,2,16.022572
2,4,16.776939
2,4,16.643565
2,4,16.644266
2,4,16.61912
2,4,16.638701
2,4,16.650599
2,4,16.642963
2,4,16.986362
2,4,16.651303
2,4,16.738988
2,4,17.015017
2,4,16.650587
2,4,16.667985
2,4,16.65527
2,4,16.672159
2,8,16.97879
2,8,16.969712
2,8,17.029314
2,8,16.980658
2,8,16.95689
2,8,16.952375
2,8,16.946805
2,8,17.03536
2,8,16.954442
2,8,16.956226
2,8,16.922888
2,8,16.963154
2,8,16.94598
2,8,16.952978
2,8,16.963012
2,16,17.187239
2,16,17.122274
2,16,17.124392
2,16,17.139186
2,16,17.144207
2,16,17.087071
2,16,17.120974
2,16,17.202591
2,16,17.108879
2,16,17.119083
2,16,17.104735
2,16,17.127426
2,16,17.131745
2,16,17.146644
2,16,17.12592
2,32,17.239935
2,32,17.330688
2,32,17.241732
2,32,17.224312
2,32,17.241786
2,32,17.236108
2,32,17.206754
2,32,17.238833
2,32,17.231957
2,32,17.234703
2,32,17.298974
2,32,17.229394
2,32,17.238652
2,32,17.247946
2,32,17.226354
2,64,17.235384
2,64,17.211922
2,64,17.32043
2,64,17.254846
2,64,17.252612
2,64,17.250832
2,64,17.276526
2,64,17.265302
2,64,17.247996
2,64,17.24297
2,64,17.226685
2,64,17.260502
2,64,17.251906
2,64,17.280246
2,64,17.239179
3,1,19.590196
3,1,19.540995
3,1,19.575238
3,1,19.591231
3,1,19.59649
3,1,19.508575
3,1,19.554486
3,1,19.579893
3,1,19.606923
3,1,19.575525
3,1,19.544154
3,1,19.530735
3,1,19.683697
3,1,19.605513
3,1,19.519615
3,2,11.395352
3,2,11.34246
3,2,11.348786
3,2,11.38708
3,2,11.386937
3,2,11.334632
3,2,11.401482
3,2,11.388793
3,2,11.336989
3,2,11.391603
3,2,11.379154
3,2,11.367287
3,2,11.366316
3,2,11.349437
3,2,11.387948
3,4,6.603711
3,4,6.612498
3,4,6.626001
3,4,6.692781
3,4,6.584597
3,4,6.62657
3,4,6.618336
3,4,6.591909
3,4,6.634961
3,4,6.547924
3,4,6.582435
3,4,6.700335
3,4,6.701916
3,4,6.643163
3,4,6.635318
3,8,4.403368
3,8,4.34932
3,8,4.351235
3,8,4.367298
3,8,4.52685
3,8,4.400463
3,8,4.340681
3,8,4.403868
3,8,4.319085
3,8,4.355559
3,8,4.393628
3,8,4.337543
3,8,4.323866
3,8,4.412778
3,8,4.320686
3,16,3.768754
3,16,3.790039
3,16,3.706898
3,16,3.685651
3,16,3.57068
3,16,3.77519
3,16,3.516536
3,16,3.696451
3,16,3.852498
3,16,3.671155
3,16,3.502841
3,16,3.773994
3,16,3.657674
3,16,3.621884
3,16,3.830598
3,32,3.38843
3,32,3.411107
3,32,3.455074
3,32,3.412523
3,32,3.551109
3,32,3.619159
3,32,3.485824
3,32,3.421371
3,32,3.407432
3,32,3.427035
3,32,3.439102
3,32,3.498895
3,32,3.410919
3,32,3.372549
3,32,3.4684
3,64,3.351413
3,64,3.308317
3,64,3.394915
3,64,3.381744
3,64,3.315311
3,64,3.270472
3,64,3.333191
3,64,3.358316
3,64,3.412462
3,64,3.345841
3,64,3.379016
3,64,3.423127
3,64,3.389982
3,64,3.271734
3,64,3.520715
5,1,12.869729
5,1,12.8827
5,1,12.877493
5,1,12.87394
5,1,12.886408
5,1,12.884812
5,1,12.885225
5,1,12.894547
5,1,12.872957
5,1,12.893847
5,1,12.893935
5,1,12.890655
5,1,12.889126
5,1,12.885886
5,1,12.879527
5,2,7.73819
5,2,7.750037
5,2,7.742762
5,2,7.769814
5,2,7.76631
5,2,7.753875
5,2,7.734154
5,2,7.738596
5,2,7.751632
5,2,7.768152
5,2,7.730299
5,2,7.716982
5,2,7.750788
5,2,7.778126
5,2,7.773703
5,4,4.866643
5,4,4.915755
5,4,4.908396
5,4,4.864285
5,4,4.94199
5,4,4.906863
5,4,4.907549
5,4,4.877312
5,4,4.843036
5,4,4.850531
5,4,4.838078
5,4,4.865732
5,4,4.807109
5,4,4.846538
5,4,5.014602
5,8,3.822777
5,8,3.884217
5,8,3.740035
5,8,3.660403
5,8,3.631812
5,8,3.614479
5,8,3.832779
5,8,3.678679
5,8,3.68674
5,8,3.832517
5,8,3.707335
5,8,3.627053
5,8,3.815473
5,8,3.87505
5,8,3.931457
5,16,3.326649
5,16,3.363613
5,16,3.398664
5,16,3.294472
5,16,3.473992
5,16,3.46106
5,16,3.355305
5,16,3.343776
5,16,3.473411
5,16,3.452684
5,16,3.326269
5,16,3.457326
5,16,3.438793
5,16,3.432581
5,16,3.346943
5,32,3.312264
5,32,3.164714
5,32,3.37758
5,32,3.20214
5,32,3.260203
5,32,3.217521
5,32,3.298344
5,32,3.361566
5,32,3.333516
5,32,3.21302
5,32,3.361257
5,32,3.163447
5,32,3.202566
5,32,3.190061
5,32,3.162686
5,64,3.149345
5,64,3.142596
5,64,3.051496
5,64,3.265563
5,64,3.133364
5,64,3.238967
5,64,3.157821
5,64,3.092123
5,64,3.273265
5,64,3.122963
5,64,3.16424
5,64,3.131608
5,64,3.238099
5,64,3.107587
5,64,3.254311
9,1,7.803237
9,1,7.920694
9,1,8.159323
9,1,7.798046
9,1,7.797403
9,1,7.849437
9,1,7.797731
9,1,7.957358
9,1,8.093548
9,1,7.798405
9,1,7.830842
9,1,8.024261
9,1,7.794043
9,1,7.783372
9,1,7.789141
9,2,5.173797
9,2,5.225922
9,2,5.201211
9,2,5.265578
9,2,5.187269
9,2,5.189976
9,2,5.201496
9,2,5.298208
9,2,5.162778
9,2,5.249479
9,2,5.231525
9,2,5.215529
9,2,5.18976
9,2,5.181255
9,2,5.16083
9,4,3.88691
9,4,3.891625
9,4,3.877413
9,4,4.011185
9,4,3.953706
9,4,4.157092
9,4,3.966299
9,4,3.754074
9,4,3.831229
9,4,3.945466
9,4,3.886076
9,4,3.914471
9,4,3.984204
9,4,3.783617
9,4,3.909981
9,8,3.203434
9,8,3.317107
9,8,3.322092
9,8,3.277574
9,8,3.296135
9,8,3.325017
9,8,3.220987
9,8,3.178493
9,8,3.347422
9,8,3.406875
9,8,3.252046
9,8,3.271713
9,8,3.243014
9,8,3.306476
9,8,3.306839
9,16,3.316942
9,16,3.221888
9,16,3.183284
9,16,3.197434
9,16,3.195035
9,16,3.284435
9,16,3.092823
9,16,3.101679
9,16,3.09585
9,16,3.071936
9,16,3.111797
9,16,3.117002
9,16,3.05113
9,16,3.206222
9,16,3.133746
9,32,3.029729
9,32,3.157785
9,32,3.220782
9,32,2.978088
9,32,3.185722
9,32,3.121365
9,32,3.203136
9,32,3.087859
9,32,2.998351
9,32,3.179624
9,32,3.015548
9,32,3.106112
9,32,3.183279
9,32,3.18188
