processes,threads,duration
2,1,27.294981
2,1,27.30898
2,1,27.257616
2,1,26.972411
2,1,26.965568
2,1,27.03638
2,1,27.095253
2,1,27.169883
2,1,27.00456
2,1,27.162437
2,1,27.814597
2,1,27.763017
2,1,27.369742
2,1,26.931414
2,1,26.998082
2,2,15.845029
2,2,15.962993
2,2,15.872537
2,2,17.097956
2,2,16.515087
2,2,15.909653
2,2,16.133598
2,2,15.990258
2,2,15.884096
2,2,16.067379
2,2,16.97461
2,2,16.055419
2,2,15.989354
2,2,16.313137
2,2,16.030919
2,4,16.443077
2,4,16.423299
2,4,16.634452
2,4,16.419646
2,4,16.403078
2,4,16.471877
2,4,16.742777
2,4,16.722231
2,4,16.54289
2,4,16.610142
2,4,16.463152
2,4,17.342204
2,4,16.468883
2,4,16.311984
2,4,16.359351
2,8,16.818008
2,8,16.713213
2,8,16.636418
2,8,16.664743
2,8,17.173497
2,8,16.860757
2,8,17.111714
2,8,17.153732
2,8,17.241473
2,8,16.97271
2,8,17.247954
2,8,16.916492
2,8,17.111019
2,8,16.911
2,8,16.877867
2,16,17.361078
2,16,17.156461
2,16,17.163523
2,16,17.227988
2,16,17.409847
2,16,17.197604
2,16,17.274588
2,16,17.264187
2,16,17.340175
2,16,16.84937
2,16,17.44587
2,16,17.151847
2,16,16.905285
2,16,17.104411
2,16,17.224295
2,32,17.042588
2,32,17.220342
2,32,17.054254
2,32,17.021795
2,32,17.139086
2,32,17.209459
2,32,17.146673
2,32,17.315134
2,32,17.363868
2,32,17.066208
2,32,17.16973
2,32,17.381771
2,32,17.393954
2,32,17.393718
2,32,17.52098
2,64,17.365645
2,64,17.211979
2,64,17.249734
2,64,17.281427
2,64,17.251443
2,64,17.308823
2,64,17.216449
2,64,17.180606
2,64,17.290079
2,64,17.296242
2,64,17.281566
2,64,17.282627
2,64,17.277779
2,64,17.319796
2,64,17.237736
3,1,27.468844
3,1,27.272871
3,1,27.936732
3,1,27.475596
3,1,27.5089
3,1,27.269073
3,1,27.628739
3,1,27.09462
3,1,27.445117
3,1,27.177134
3,1,27.816158
3,1,27.390341
3,1,27.649626
3,1,27.281334
3,1,27.404945
3,2,15.118576
3,2,15.217035
3,2,15.21185
3,2,15.174151
3,2,15.344952
3,2,15.099532
3,2,15.117116
3,2,15.208444
3,2,15.027489
3,2,15.071001
3,2,14.831232
3,2,15.207839
3,2,14.973396
3,2,15.371909
3,2,14.809396
3,4,8.945049
3,4,9.184781
3,4,8.781425
3,4,9.230238
3,4,8.856648
3,4,9.147853
3,4,9.069956
3,4,9.140833
3,4,9.308189
3,4,9.256987
3,4,9.078115
3,4,9.252192
3,4,8.688891
3,4,9.22713
3,4,8.836957
3,8,6.148723
3,8,6.152929
3,8,6.056159
3,8,6.128356
3,8,6.233927
3,8,6.21288
3,8,6.257709
3,8,6.088455
3,8,6.349068
3,8,6.077121
3,8,6.217273
3,8,6.474126
3,8,6.335863
3,8,5.81777
3,8,6.245372
3,16,4.792788
3,16,4.808811
3,16,4.815531
3,16,4.639901
3,16,4.746395
3,16,4.908226
3,16,4.712842
3,16,4.619133
3,16,4.611895
3,16,4.643775
3,16,4.61188
3,16,4.474542
3,16,4.632579
3,16,4.813951
3,16,4.612181
3,32,4.491146
3,32,4.524128
3,32,4.797654
3,32,4.667327
3,32,4.720986
3,32,4.592695
3,32,4.773152
3,32,4.682595
3,32,4.61421
3,32,4.573409
3,32,5.217881
3,32,4.825682
3,32,4.742509
3,32,4.775443
3,32,4.651917
3,64,4.632917
3,64,4.861801
3,64,4.424929
3,64,4.764288
3,64,4.836935
3,64,4.6255
3,64,4.462064
3,64,4.633122
3,64,4.455117
3,64,4.514834
3,64,4.664793
3,64,4.421587
3,64,4.652117
3,64,4.985023
3,64,4.404052
5,1,9.54648
5,1,9.463638
5,1,9.525714
5,1,9.999425
5,1,9.443588
