threads,duration
1,28.805556
1,28.344834
1,29.045271
1,29.394025
1,28.101476
1,28.372066
1,28.502151
1,28.263599
1,29.199195
1,30.219989
1,28.592487
1,28.589041
1,28.394568
1,29.062345
1,29.821811
2,26.968665
2,26.599753
2,26.294695
2,26.833023
2,26.702145
2,26.870935
2,27.326908
2,26.791699
2,27.10393
2,26.591325
2,26.806803
2,26.608739
2,27.161321
2,26.408602
2,26.718992
4,14.327941
4,13.275977
4,13.954971
4,14.038368
4,14.671527
4,13.919387
4,13.973191
4,13.789452
4,14.510185
4,13.419577
4,13.610543
4,14.375856
4,14.49115
4,13.811649
4,14.045004
8,9.060579
8,9.485555
8,8.531856
8,8.964643
8,8.939197
8,9.561879
8,8.692788
8,8.941738
8,8.780887
8,8.754164
8,8.998583
8,8.404182
8,8.702888
8,8.981489
8,8.66308
16,5.456827
16,5.029215
16,5.575414
16,5.511289
16,6.007657
16,5.336607
16,5.346359
16,5.459691
16,5.819036
16,5.232237
16,5.745628
16,4.883983
16,5.323261
16,5.474241
16,5.144196
32,3.59575
32,3.679886
32,3.992603
32,3.510771
32,3.356055
32,3.754245
32,3.641022
32,3.931054
32,4.092196
32,3.692679
32,3.376475
32,3.263017
32,3.756267
32,3.520616
32,3.519797
64,3.130157
64,3.4629
64,3.679565
64,3.070805
64,3.24835
64,3.382856
64,3.622764
64,3.32573
64,3.694634
64,3.225843
64,2.926696
64,3.754991
64,3.437483
64,3.481861
64,3.937983
